termo,Iron Maiden,Killers,The Number of the Beast,Piece of Mind,Powerslave,Somewhere in Time,Seventh Son of a Seventh Son,No Prayer for the Dying,Fear of the Dark,The X Factor,Virtual XI,Brave New World,Dance of Death,A Matter of Life and Death,The Final Frontier,The Book of Souls,Senjutsu
fought,2,0,2,2,6,0,0,0,3,0,0,0,0,0,0,0,1
horizon,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
onli,2,0,3,1,0,11,5,0,5,1,6,34,9,12,10,0,3
pick,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
place,2,4,2,2,1,5,1,1,4,1,2,8,2,1,4,5,2
return,2,1,1,0,0,2,2,0,0,0,3,0,0,2,6,9,2
say,2,3,0,2,0,1,3,1,9,5,3,7,10,2,10,4,3
sky,2,0,1,4,0,2,0,3,0,4,1,1,5,2,2,7,6
stare,2,2,3,1,0,0,3,0,0,0,0,0,0,0,1,1,0
talk,2,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0
thing,2,1,0,1,1,3,1,2,4,6,2,11,5,14,7,2,2
tomorrow,2,1,1,2,0,0,1,0,1,1,0,0,8,0,0,7,0
watch,2,2,4,1,1,0,2,7,5,0,3,4,2,0,0,5,1
alon,1,0,3,1,1,1,2,0,3,5,7,1,1,1,2,6,2
alway,1,0,2,1,1,8,0,0,14,1,0,0,4,1,2,0,0
behind,1,4,0,0,2,0,0,2,2,1,0,1,1,1,3,0,1
bloodi,1,0,1,0,1,0,2,0,0,0,0,0,1,3,1,0,0
break,1,1,2,5,2,0,3,1,1,1,0,0,1,3,0,2,0
care,1,0,2,0,0,2,0,1,3,4,3,0,0,1,0,0,0
caus,1,1,4,0,0,4,0,0,0,2,0,13,1,0,1,0,1
citi,1,0,0,0,0,2,0,2,0,1,0,0,0,2,0,1,0
cours,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0
cri,1,0,3,5,1,5,4,2,3,2,0,1,3,3,4,17,5
danc,1,0,0,0,1,0,1,2,1,0,2,2,8,0,1,0,3
day,1,5,5,3,4,6,2,2,9,6,3,4,7,15,9,8,15
devil,1,3,1,0,0,1,2,6,1,0,2,1,1,1,1,3,2
drink,1,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1
end,1,1,5,2,1,1,5,3,5,3,2,6,11,0,10,22,10
face,1,1,4,1,2,3,2,1,2,5,3,7,6,1,8,3,3
far,1,1,0,1,0,4,1,0,0,1,1,0,8,2,9,2,6
float,1,1,0,0,0,1,0,0,1,0,0,2,0,0,1,1,1
ground,1,0,3,3,0,0,0,2,2,0,0,0,4,0,0,4,8
grow,1,0,0,0,1,0,1,0,0,2,2,0,0,0,2,0,1
happi,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
head,1,2,0,1,2,1,2,2,2,3,1,1,0,1,3,6,3
hit,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
hold,1,5,1,0,0,1,2,2,3,3,2,0,4,1,5,2,5
joy,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2
keep,1,3,1,0,0,4,0,1,1,1,3,2,0,7,1,2,1
last,1,2,3,1,4,0,0,2,0,0,1,1,7,2,15,9,4
law,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
listen,1,4,0,0,1,0,2,0,1,0,0,0,1,1,0,1,3
lone,1,0,1,0,0,0,0,0,0,1,1,0,1,2,3,0,0
luck,1,0,0,0,2,0,0,0,1,0,2,0,1,0,1,4,0
mad,1,1,2,0,0,6,13,0,1,1,0,0,0,0,0,2,0
mani,1,0,3,0,0,1,1,0,0,0,1,3,1,7,1,1,1
matter,1,1,0,0,0,0,0,0,2,1,1,1,0,0,1,6,1
men,1,0,17,7,12,8,18,7,3,5,0,13,10,13,10,22,9
mind,1,8,4,1,0,5,3,0,3,5,0,7,1,2,2,9,3
money,1,0,0,0,0,0,0,4,1,0,0,1,0,2,2,0,0
never,1,12,1,1,2,6,0,5,6,4,4,1,7,1,6,12,13
new,1,3,1,0,0,6,1,2,0,2,0,27,5,2,1,0,0
night,1,4,7,3,2,6,6,2,13,2,4,5,4,0,4,9,1
nobodi,1,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0
noth,1,4,0,1,0,1,0,2,2,4,3,12,3,3,7,6,3
nowher,1,3,0,0,0,0,0,0,0,0,0,11,0,0,1,2,2
old,1,1,2,2,0,0,2,1,0,0,0,1,4,6,3,4,3
open,1,0,0,2,1,1,2,1,2,0,3,0,3,1,2,3,2
past,1,1,3,1,0,0,0,1,0,2,0,1,3,6,2,2,5
real,1,0,3,1,0,2,1,0,1,2,9,4,0,2,1,0,1
realli,1,0,1,0,0,1,0,0,0,5,6,4,0,1,1,0,3
reason,1,0,0,1,2,0,0,1,3,0,0,0,1,1,1,1,1
remain,1,1,0,0,1,0,0,1,0,0,3,1,3,0,0,3,1
scare,1,0,0,0,0,1,4,0,1,1,4,1,1,0,0,1,0
seem,1,0,1,2,0,5,4,0,0,4,3,0,0,3,1,1,2
ship,1,0,0,1,4,0,0,0,0,0,0,0,1,1,6,2,0
smile,1,1,3,1,0,0,1,1,1,0,0,0,1,0,1,4,0
somebodi,1,2,2,0,0,4,0,0,2,0,2,0,0,0,0,3,0
soul,1,4,2,1,3,4,6,1,1,4,2,5,9,12,4,10,6
sound,1,0,0,2,1,1,0,2,2,0,0,0,1,1,0,4,4
space,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0
step,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,3,0
strang,1,0,1,1,0,4,2,1,1,0,0,0,1,8,4,1,1
terror,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
time,1,4,11,7,4,20,14,5,13,6,16,15,18,8,14,22,8
wait,1,0,2,3,1,4,3,5,4,3,4,3,10,5,11,15,5
whi,1,2,3,0,6,1,3,3,2,7,5,1,3,9,1,4,1
wide,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1
wine,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0
wing,1,0,0,3,1,3,0,0,0,0,0,2,0,0,1,0,0
world,1,0,2,1,0,7,1,1,8,9,7,10,3,10,5,8,11
help,0,7,0,0,0,0,2,0,1,5,0,0,0,1,1,0,0
anoth,0,5,2,5,0,4,3,1,0,6,1,1,1,2,3,4,2
insid,0,5,1,0,2,0,0,0,1,3,4,4,5,1,4,8,1
pleas,0,5,3,0,0,0,1,0,0,0,0,1,0,10,3,0,0
think,0,5,3,1,0,1,3,2,2,4,6,7,1,6,4,2,7
found,0,4,0,0,0,3,0,0,0,1,0,1,0,0,2,0,0
scream,0,4,2,1,2,0,3,2,1,1,1,1,0,0,2,0,0
someon,0,4,1,0,0,2,1,0,9,5,2,1,1,5,3,0,0
burn,0,3,10,0,7,3,4,3,1,0,3,3,10,2,4,2,8
killer,0,3,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0
life,0,3,17,21,33,4,35,6,24,23,18,20,30,45,29,32,25
lost,0,3,1,1,0,5,1,0,2,2,1,18,2,1,5,3,18
start,0,3,1,0,8,1,0,0,0,2,1,0,4,0,0,0,1
sure,0,3,0,0,0,1,1,0,1,2,0,0,1,5,3,0,1
tire,0,3,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0
tri,0,3,1,3,1,1,2,2,6,6,1,0,2,2,8,6,3
along,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
arm,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2
attack,0,2,2,1,1,0,0,0,1,1,0,0,0,0,0,1,1
becaus,0,2,2,0,0,0,0,0,1,1,0,0,0,1,1,0,1
bleed,0,2,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0
child,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0
confus,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
crime,0,2,0,0,1,0,0,0,2,0,0,2,2,0,0,2,1
dark,0,2,1,1,0,1,0,0,32,5,1,1,1,14,5,10,19
empti,0,2,0,0,0,0,0,1,3,0,0,0,0,0,3,1,0
good,0,2,4,0,3,1,6,1,0,0,1,5,0,4,9,4,1
greed,0,2,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0
heard,0,2,0,0,1,1,2,0,3,0,0,1,2,0,7,0,0
hole,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1
home,0,2,1,1,1,5,0,2,1,1,0,2,8,2,8,1,1
knee,0,2,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0
laugh,0,2,1,0,0,0,4,0,0,2,0,1,3,0,0,4,0
lay,0,2,3,6,0,0,0,1,2,2,0,0,2,0,1,4,2
lust,0,2,0,0,0,1,1,0,0,1,0,0,1,0,3,1,2
merci,0,2,0,0,0,0,0,0,1,0,0,0,5,0,12,0,2
need,0,2,2,0,1,0,1,1,0,3,4,1,0,1,1,4,3
prepar,0,2,2,0,0,0,0,0,0,1,1,0,2,0,4,0,0
rememb,0,2,0,0,0,1,0,1,6,1,1,0,2,0,2,0,4
round,0,2,0,2,1,0,0,2,0,0,1,0,1,1,1,0,3
search,0,2,0,3,0,2,0,0,1,1,0,0,4,1,1,3,1
seen,0,2,0,0,0,1,0,0,2,0,0,4,1,0,6,0,12
shadow,0,2,1,0,0,0,1,0,5,1,0,1,3,10,3,11,1
side,0,2,0,0,0,9,1,0,0,0,1,0,0,4,4,2,2
stop,0,2,5,0,1,1,0,0,1,0,0,0,9,1,0,0,0
street,0,2,2,0,0,2,0,1,2,0,0,1,0,0,3,0,0
tell,0,2,7,0,6,0,3,4,1,4,1,6,26,43,12,4,5
two,0,2,1,2,3,1,0,3,1,0,5,0,0,1,1,2,0
victim,0,2,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0
voic,0,2,0,0,0,1,0,0,0,1,0,1,0,0,3,0,3
across,0,1,1,0,1,2,0,0,1,2,0,0,1,1,4,0,1
age,0,1,1,2,1,1,1,2,0,0,0,1,3,0,0,2,0
ani,0,1,3,0,1,1,0,0,0,0,0,1,0,1,1,0,0
babi,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
bad,0,1,1,0,1,0,1,3,1,0,0,4,0,2,2,1,0
blind,0,1,0,3,1,0,6,0,1,0,1,0,1,2,2,0,1
bodi,0,1,2,3,4,3,0,0,2,1,0,1,3,5,3,0,1
born,0,1,0,1,0,1,6,0,1,0,1,2,0,4,4,2,2
bound,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
brain,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
bring,0,1,2,0,2,7,0,2,0,4,2,3,0,4,4,2,2
came,0,1,3,3,1,2,0,0,0,1,0,0,4,1,0,3,3
cold,0,1,1,1,1,0,0,4,2,1,0,0,0,3,3,2,0
curs,0,1,0,0,5,0,2,0,0,1,0,0,4,1,1,0,0
death,0,1,12,22,28,6,18,15,15,7,6,12,29,21,23,26,22
destin,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0
everyon,0,1,0,0,0,0,0,0,1,1,0,3,11,0,0,0,3
excit,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
fear,0,1,3,2,2,5,3,1,18,6,5,7,5,8,4,10,12
fli,0,1,1,11,11,3,1,2,0,6,0,4,0,7,0,1,0
fool,0,1,0,1,0,0,0,2,1,0,2,0,0,1,2,2,0
forev,0,1,0,2,0,1,3,0,1,0,1,4,2,1,0,3,4
futur,0,1,0,0,0,0,4,0,0,1,7,2,2,1,3,1,4
god,0,1,3,2,9,1,0,4,3,6,2,9,16,10,14,6,9
hand,0,1,3,4,3,4,4,2,2,7,1,8,7,8,2,0,2
happen,0,1,0,0,0,2,0,0,1,3,3,1,3,2,1,0,1
innoc,0,1,0,0,0,0,2,0,1,0,0,0,6,0,0,0,1
kill,0,1,7,1,8,0,1,2,0,2,0,8,10,0,3,2,0
leav,0,1,0,2,0,6,1,1,0,2,5,0,3,2,3,0,1
led,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
lord,0,1,0,0,0,0,0,1,0,6,0,0,0,4,0,2,3
made,0,1,0,2,2,0,0,0,3,0,2,0,2,2,1,0,0
memori,0,1,1,0,0,0,0,0,0,1,0,1,4,2,1,0,1
might,0,1,1,0,0,0,1,0,1,0,0,2,2,1,1,2,1
moment,0,1,0,0,0,2,0,1,0,3,0,1,1,0,4,0,1
mother,0,1,0,0,0,0,2,4,0,0,0,1,0,0,22,2,0
move,0,1,1,1,4,0,1,1,3,1,0,2,1,0,2,0,2
nightmar,0,1,0,6,2,1,2,1,0,3,0,2,1,2,0,2,0
peac,0,1,0,2,0,0,0,0,0,2,1,0,0,5,1,1,0
peopl,0,1,1,1,2,1,0,2,1,2,1,0,1,1,0,2,1
point,0,1,0,4,0,2,0,0,0,0,3,2,0,0,0,0,1
queen,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,4
rain,0,1,0,1,1,1,0,1,1,3,1,0,11,5,3,1,2
readi,0,1,1,0,1,2,0,1,1,0,1,1,2,2,4,2,3
rise,0,1,0,1,1,0,1,0,1,1,0,1,0,5,3,3,1
said,0,1,0,0,0,2,5,1,0,0,0,1,0,1,5,3,1
sign,0,1,0,0,0,0,0,0,0,4,0,0,4,1,2,1,0
sit,0,1,0,0,0,0,0,1,0,1,2,0,1,0,5,1,1
slaughter,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
someth,0,1,0,1,0,0,0,1,6,8,1,5,9,3,7,3,0
speak,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
today,0,1,1,0,0,0,2,1,0,0,0,0,0,2,3,1,0
took,0,1,1,1,0,1,0,0,2,0,0,0,5,1,0,2,0
understand,0,1,2,0,0,3,1,1,0,1,0,0,0,2,4,0,0
wrong,0,1,1,0,0,2,0,0,3,2,1,2,0,0,0,3,1
young,0,1,1,1,1,1,6,0,0,0,0,0,1,0,0,0,0
children,0,0,13,0,1,0,0,2,0,0,0,0,1,0,0,0,3
damn,0,0,11,0,0,0,2,0,1,0,0,1,1,0,2,2,0
number,0,0,11,0,1,0,0,2,0,0,0,0,0,1,0,1,0
fight,0,0,9,3,14,0,0,2,1,4,2,0,0,2,3,0,5
beast,0,0,6,2,1,0,0,0,2,0,1,0,2,0,1,0,1
hill,0,0,5,1,0,0,0,0,0,0,2,0,1,0,0,1,0
tale,0,0,5,0,3,0,0,0,0,0,0,1,1,1,1,0,0
battl,0,0,4,1,0,2,1,0,3,1,0,0,0,1,0,2,3
black,0,0,4,2,2,0,1,2,1,0,0,16,1,3,1,6,3
hard,0,0,4,0,0,1,2,0,2,2,0,0,0,0,2,6,1
better,0,0,3,1,1,0,0,4,2,2,3,0,0,2,2,1,2
game,0,0,3,1,1,0,2,0,8,0,2,1,0,1,0,5,0
gone,0,0,3,0,1,3,0,2,1,1,1,0,0,1,5,0,3
hell,0,0,3,0,1,2,4,2,3,0,1,1,4,14,0,3,8
name,0,0,3,1,2,4,2,0,7,3,0,1,1,3,2,4,4
sea,0,0,3,0,6,11,0,1,0,0,0,3,1,0,6,1,3
wall,0,0,3,3,0,0,2,0,3,2,0,0,13,1,1,0,9
wast,0,0,3,0,4,4,0,0,5,0,0,0,0,0,1,0,2
word,0,0,3,0,2,1,0,2,0,0,0,1,2,0,0,0,1
begun,0,0,2,0,1,0,0,0,0,0,1,0,2,2,4,0,3
blaze,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,1
breath,0,0,2,1,2,1,1,0,0,1,2,2,1,4,6,5,2
evil,0,0,2,1,1,0,21,0,0,0,0,1,5,2,1,1,0
flesh,0,0,2,0,0,0,0,0,0,1,0,1,1,1,2,0,0
mayb,0,0,2,1,0,3,0,0,7,1,4,1,2,0,2,4,1
much,0,0,2,0,0,2,0,0,1,1,4,0,1,0,2,0,1
pain,0,0,2,2,4,2,1,2,6,3,3,9,4,10,6,3,5
pay,0,0,2,0,0,0,1,0,3,1,0,1,3,2,0,0,0
power,0,0,2,4,5,0,5,1,3,1,1,1,0,1,2,2,3
save,0,0,2,2,0,0,5,3,0,1,5,8,5,7,4,11,1
sight,0,0,2,1,1,0,1,1,1,0,0,0,1,0,5,2,0
sun,0,0,2,6,2,1,1,1,1,0,0,5,2,18,12,7,4
they'v,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0
wound,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
aliv,0,0,1,0,0,0,0,1,0,1,2,11,2,2,1,0,1
ask,0,0,1,5,0,1,0,1,0,2,3,0,2,0,0,4,0
beat,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1
beauti,0,0,1,0,1,0,0,0,0,0,0,1,0,5,1,0,0
beyond,0,0,1,0,0,0,2,0,0,0,1,0,3,1,1,1,5
bone,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3,1,1
book,0,0,1,0,0,1,2,1,0,0,1,1,2,0,3,5,0
brought,0,0,1,0,0,0,1,0,0,3,0,0,0,2,1,1,0
cast,0,0,1,0,1,0,0,1,0,0,0,0,0,3,1,4,0
chase,0,0,1,0,1,0,1,1,0,0,0,3,2,0,0,0,0
close,0,0,1,3,0,1,0,2,0,0,1,1,0,1,2,1,0
doe,0,0,1,0,0,0,1,0,1,5,1,2,1,0,0,0,1
drift,0,0,1,1,0,1,0,1,0,3,0,1,0,0,1,0,1
earth,0,0,1,4,0,2,0,1,1,1,0,0,0,2,15,4,8
easi,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
east,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0
enemi,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,2
escap,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0
even,0,0,1,0,0,1,4,0,2,4,2,1,2,0,1,1,1
flame,0,0,1,1,2,0,0,0,0,1,1,0,0,2,0,0,3
freedom,0,0,1,0,3,0,0,1,2,0,5,0,0,1,1,4,1
friend,0,0,1,0,0,1,0,3,3,0,0,0,3,0,1,2,1
gain,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
gave,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
gold,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,0,1
golden,0,0,1,0,1,2,0,0,0,0,0,0,0,2,1,1,0
grave,0,0,1,1,1,0,0,0,0,0,1,0,4,1,4,2,4
human,0,0,1,1,1,0,0,0,0,1,0,2,2,1,0,13,0
hundr,0,0,1,0,1,1,0,0,1,0,4,1,0,0,1,0,0
judgement,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,11
kind,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
lead,0,0,1,0,2,1,0,0,0,1,0,0,1,6,0,0,0
learn,0,0,1,1,0,1,1,0,1,0,3,2,0,4,0,1,1
meet,0,0,1,0,0,0,2,0,1,1,1,0,1,0,0,1,2
miseri,0,0,1,0,0,0,0,1,2,0,0,0,2,2,0,0,0
mist,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,4,0
near,0,0,1,5,1,1,0,0,5,0,3,0,2,1,3,0,0
pray,0,0,1,0,4,0,2,2,2,3,0,2,3,3,5,6,3
reach,0,0,1,0,0,3,1,1,0,1,2,0,0,7,0,2,1
read,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2
red,0,0,1,0,1,0,3,0,1,1,0,0,1,3,0,8,1
rest,0,0,1,1,0,0,0,1,0,2,0,0,0,0,1,5,0
ride,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7,5,7
sacrific,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0
sad,0,0,1,0,1,7,0,0,1,0,1,1,0,0,0,3,1
sand,0,0,1,3,0,0,0,0,2,0,0,4,2,3,1,0,1
send,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1
skin,0,0,1,0,0,0,0,2,1,1,0,1,0,0,2,1,2
small,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
smell,0,0,1,1,1,0,0,3,0,0,0,0,1,0,1,0,1
soldier,0,0,1,0,0,0,0,1,0,6,0,0,2,3,3,1,0
sometim,0,0,1,0,0,2,0,0,6,4,1,1,0,1,0,0,1
surviv,0,0,1,0,0,0,0,0,0,1,1,1,0,2,3,0,2
sword,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2
taken,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,1,1
thought,0,0,1,1,0,0,0,0,6,3,1,0,1,2,4,1,1
toward,0,0,1,1,1,4,0,0,0,1,0,0,1,0,1,0,0
trap,0,0,1,0,0,2,0,0,0,0,0,0,8,1,1,0,0
truth,0,0,1,2,0,1,7,3,2,7,2,17,5,1,5,12,2
use,0,0,1,0,0,0,1,0,3,0,0,1,1,1,0,2,0
veri,0,0,1,0,1,0,0,0,0,0,2,0,2,0,3,0,0
war,0,0,1,1,4,0,0,1,2,19,0,1,12,14,2,1,4
warn,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,2
wonder,0,0,1,0,0,1,6,3,0,4,0,0,1,0,2,5,2
work,0,0,1,0,0,0,0,3,1,2,0,0,1,1,0,0,0
land,0,0,0,7,1,6,0,0,0,1,6,2,1,5,14,1,4
high,0,0,0,4,2,3,0,0,1,2,1,0,0,0,0,0,1
king,0,0,0,3,0,5,0,0,0,0,0,1,0,1,2,7,11
without,0,0,0,3,0,0,1,0,0,0,3,0,6,0,3,4,4
cut,0,0,0,2,4,1,0,0,1,3,0,0,4,0,0,1,0
father,0,0,0,2,0,0,0,0,0,0,1,2,0,4,0,1,2
gun,0,0,0,2,5,0,0,2,1,0,0,0,4,0,0,0,0
hope,0,0,0,2,1,2,2,0,6,0,1,4,1,5,3,2,3
roll,0,0,0,2,8,0,0,1,3,0,3,0,0,0,2,2,0
star,0,0,0,2,1,0,0,0,0,0,1,0,1,0,7,12,0
stone,0,0,0,2,1,0,0,1,0,0,3,1,12,0,0,2,0
water,0,0,0,2,4,0,1,0,1,0,0,0,0,5,2,1,0
wind,0,0,0,2,1,2,0,1,0,2,3,1,3,2,7,1,7
best,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,3,0
blade,0,0,0,1,3,0,1,0,1,3,0,0,0,0,0,0,1
blame,0,0,0,1,1,0,1,0,0,2,0,1,2,0,0,0,0
blow,0,0,0,1,1,0,0,2,0,0,1,0,1,2,3,0,0
claim,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
cost,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,2,0
count,0,0,0,1,0,0,1,1,1,0,0,3,0,1,0,2,1
danger,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,3
dawn,0,0,0,1,0,1,0,0,0,0,0,1,1,1,4,0,5
deep,0,0,0,1,0,0,1,2,1,0,1,1,2,0,1,3,2
desert,0,0,0,1,0,0,0,0,1,0,0,8,1,1,0,0,1
doubt,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,2,0
engin,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0
felt,0,0,0,1,0,2,0,0,2,1,2,1,2,0,0,0,0
goe,0,0,0,1,5,4,0,0,3,1,1,1,1,0,2,4,0
heavi,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,3,2
holi,0,0,0,1,0,0,2,10,0,0,0,0,0,9,3,0,3
hour,0,0,0,1,3,1,0,0,0,0,0,0,1,0,2,1,9
howl,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
kingdom,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,2,1
kiss,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,1,0
late,0,0,0,1,2,0,2,0,3,1,2,2,0,3,1,1,1
lies,0,0,0,1,1,3,4,5,3,2,0,0,9,9,10,11,8
line,0,0,0,1,1,3,2,1,2,0,0,6,3,0,1,13,1
madman,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1
next,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,1
part,0,0,0,1,1,1,0,1,1,1,1,1,2,2,0,0,0
pass,0,0,0,1,1,0,1,0,1,1,2,0,1,0,5,11,1
path,0,0,0,1,0,2,3,0,0,0,1,2,0,3,0,2,1
pride,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
race,0,0,0,1,0,2,0,1,0,0,2,0,2,0,0,2,2
secret,0,0,0,1,0,0,0,1,2,0,0,1,1,8,1,0,0
seed,0,0,0,1,3,0,0,0,1,0,0,0,0,0,3,1,0
silver,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0
smoke,0,0,0,1,1,0,0,9,0,1,0,0,1,0,1,0,1
spirit,0,0,0,1,2,1,0,0,0,1,0,5,4,3,3,0,7
