Song,Composers,Time,Seconds,Album,Fase,Lyrics,Harris,Dickinson,Murray,Smith,Gers,Di'Anno,Bayley,McBrain,Burr
Innocent Exile,Harris,3:50,230,Killers,1,"my life is so empti , noth to live for . my mind is all confus , ' cos i defi the law . when you weren't there to help me , i lost my mind and ran . i never had no troubl , befor this all began . my life is so empti , noth to live for . my mind is all confus , ' cos i defi the law . when you weren't there to help me , i lost my mind and ran . i never had no troubl , befor this all began . i'm run away , nowher to go , i'm lost and tire , and i just don't know . they say i kill a woman , they know it isn't true . they'r just tri to frame me , and all becaus of you . lord i'm run .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Killers,"Di'Anno, Harris",4:58,298,Killers,1,"you walk through the subway , his eye burn a hole in your back . a footstep behind you , he lung prepar for attack . scream for merci , he laugh as he watch you bleed . killer behind you , his blood lust defi all his need . my innoc victim are slaughter with wrath and despis , the mock religion of hatr that burn in the night . i have no-on , am bound to destroy all this greed . a voic insid me , compel to satisfi me . i can see , what a life meant to be . you'll never know , how i came to forese . my faith in believ is stronger than lifelin and tie , with the glimmer of metal my moment is readi to strike . the death call aris , a scream break the still of the night . anoth tomorrow rememb to walk in the light . i have found you , and now there is no place to run . excit shake me , oh god help me what have i done . yeah i'v done it again ! he walk through the subway his eye burn a hole through your back . a footstep behind you he lung prepar for attack . scream for merci , he laugh as he watch you bleed . killer behind you , my blood lust defi all my need . look out i'm come for you !",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Prodigal Son,Harris 5,6:0,360,Killers,1,"listen to me lamia listen to what i'v got to say i'v got these feel and they won't go away i'v got these fear insid that'll bring me to my knee oh help me lamia or i'm not sure i'll die oh pleas i feel unsettl , now i know that i'v done wrong i'v mess around with mystic thing and magic for too long i feel i'm be paid with this nightmar insid me the devil got a hold on my soul and he just won't let me be i'm on my knee , oh help me pleas oh lamia pleas tri to help me the devil got a hold on my soul and he won't let me be lamia i'v got this curs i'm turn to bad the devil got a hold on my soul and it drive me mad .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Purgatory,Harris,3:18,198,Killers,1,"think of an age old dream , place i have never seen . fantasi live time befor , i split my brain , melt through the floor . over cloud my mind will fli , forev now i can't think whi , my bodi tri to leav my soul , is it me ? i just don't know . memori rise from the past , the futur shadow overcast . someth clutch at my head , through the dark i'll be led . oh anoth time , anoth place , oh well anoth smile on anoth face . when you see me float up besid you , you get the feel that all my love insid of you . ( chorus ) pleas take me away , take me away , so far away . repeat .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Drifter,Harris,4:47,287,Killers,1,"look out now babi won't you take me away sit here i think it gonna be a new day gonna get my song ' til i can't go on gonna keep on roam gotta sing my song what you feel when you hold me tight gonna cuddl up to you tonight gonna get you feel so secur listen child , don't you see there a cure anywher got to get you away feel so good , think it gonna be a new day gonna get my song ' til i cant go on gonna keep on roam gotta sing my song what you feel when you hold me tight i wanna cuddl up to you tonight gonna get you feel so secur listen child , don't you see there a cure anywher got to get you away feel so good , think it gonna be a new day gonna get my song ' til i can't go on gonna keep on roam gotta sing my song gonna sing my song yeah and it won't take long gonna sing my song yeah won't you sing along i wan't you to sing it sing it , sing it , sing it along ( repeat )",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Invaders,Harris,3:20,200,The Number of the Beast,2,"longboat have been sight , the evid of war has begun , mani nordic fight men , their sword and shield all gleam in the sun . call to arm defend yourselv , get readi to stand and fight for your live , judgement day has come around , so be prepar don't run stand your ground . they'r come in from the sea , they'v come the enemi . beneath the blaze sun , the battl has to be won . invad . . . . . . pillag . invad . . . . . . loot . set ablaz the camp fire , alert the other men from inland . warn must be given , there not enough men for a stand . the vike are too mani , too power to take on our own . we must have reinforc , we cannot fight this battl alon . they'r come over the hill , they'v come to attack . they'r come in for the kill , there no turn back . invad . . . . . . fight . invad . . . . . . maraud . axe grind and mace clash , as wound fighter fall to the ground . sever limb and fatal wound , bloodi corps lay all around . the smell of death and burn flesh , the battl weari fight to the end . the saxon have been overpow , victim of the mighti norsemen . you'd better scatter and run . the battl lost and not won . you'd better get away , to fight anoth day . invad . . . . . . rape . invad . . . . . . plunder .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Children of the Damned,Harris,4:34,274,The Number of the Beast,2,"he walk like a small child , but watch his eye burn you away . black hole in his golden stare god know he want to go home children of the damn children of the damn children of the damn children of the damn he walk like a dead man . if he had live he would have crucifi us all . now he stand on the last step . he thought oblivion , well it beckon to us all . children of the damn children of the damn children of the damn children of the damn now it burn his hand , he turn to laugh , smile as the flame sear his flesh . melt his face , scream in pain . peel the skin from his eye . watch him die accord to plan , he dust on the ground , what did we learn . you'r children of the damn , your back against the wall . you turn into the light . you'r burn in the night . you'r children of the damn , like candl watch them burn . burn in the light , you'll burn again tonight . you'r children of the damn .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Prisoner,"Smith, Harris",5:34,334,The Number of the Beast,2,""" we want inform , inform , inform . "" "" who are you ? "" "" the new number two . "" "" who is number one ? "" "" you are number six . "" "" i am not a number , i am a free man . "" "" hahahahahahahaha . "" i'm on the run , i'll kill to eat , starv now , feel dead on my feet . go all the way , i'm natur beast . do what i want , i do as i pleas . run , fight , to breath , it tough . now you see me , now you don't . break the wall , i'm come out . i'm not a prison , i'm a free man , and my blood is my own now . don't care where the past was , i know where i'm go . . . out . if you kill me , it self defenc . if i kill you , then i call it vengeanc . spit in your eye , i will defi . you'll be afraid when i call out your name . run , fight , to breath , it gonna be tough . now you see me , now you don't . break the wall , i'm come out . i'm not a prison , i'm a free man , and my blood is my own now . don't care where the past was , i know where i'm go . i'm not a number , i'm a free man , i'll live my life how i want to . you'd better scratch me from your black book , ' caus i'll run ring around you .",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
22 Acacia Avenue,"Harris, Smith",6:34,394,The Number of the Beast,2,"if you'r feel down depress and lone i know a place where we can go 22 acacia avenu meet a ladi that i know so if you'r look for a good time and you'r prepar to pay the price fifteen quid is all she ask for everybodi got their vice if you'r wait for a long time for the rest to do their piec you can tell her that you know me and you might even get it free so ani time you'r down the east end don't you hesit to go you can take my honest word for it she'll teach you more than you can know charlott can't you get out from all this mad can't you see it onli bring you sad when you entertain your men don't know the risk of get diseas some day when you'r reach the age of forti i bet you'll regret the day when you were lay nobodi then will want to know you won't have ani beauti ware to show ani more 22 , the avenu that the place where we all go you will find it warm insid the red light burn bright tonight charlott isn't it time you stop this mad life don't you ever think about the bad time whi do you have to live this way do you enjoy your lay or is it the pay sometim when you stroll down the avenu the way you walk it make men think of have you when you'r walk down the street everybodi stop and turn to stare at you beat her mistreat her do anyth that you pleas bite her excit her make her get down on her knee abus her misus her she can take all that you'v got caress her molest her she alway doe what you want you'r run away don't you know what you'r do can't you see it'll lead you to ruin charlott you'v taken your life and you'v thrown it away you believ that becaus what you'r earn your life good don't you know that you'r hurt all the peopl that love you don't cast them asid all the men that are constant drool it no life for you stop all that screw you'r pack your bag and you'r come with me",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
The Number of the Beast,Harris,4:25,265,The Number of the Beast,2,""" woe to you , oh earth and sea for the devil send the beast with wrath becaus he know the time is short let him who hath understand reckon the number of the beast for it is a human number it number is six hundr and sixti six . "" i left alon , my mind was blank i need time to think to get the memori from my mind what did i see , can i believ that what i saw that night was real and not just fantasi just what i saw , in my old dream were they reflect of my warp mind stare back at me ' caus in my dream , it alway there the evil face that twist my mind and bring me to despair the night was black , was no use hold back ' caus i just had to see , was someon watch me in the mist , dark figur move and twist was all this for real , or just some kind of hell 666 the number of the beast hell and fire was spawn to be releas torch blaze and sacr chant were prais as they start to cri hand held to the sky in the night , the fire are burn bright the ritual has begun , satan work is done 666 the number of the beast sacrific is go on tonight this can't go on , i must inform the law can this still be real or just some crazi dream but i feel drawn toward the chant hord they seem to mesmer . . . can't avoid their eye 666 the number of the beast 666 the one for you and me i'm come back , i will return and i'll possess your bodi and i'll make you burn i have the fire , i have the forc i have the power to make my evil take it cours",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Run to the Hills,Harris,3:50,230,The Number of the Beast,2,"white man came across the sea , he brought us pain and miseri he kill our tribe , he kill our creed , he took our game for his own need we fought him hard , we fought him well , out on the plain we gave him hell but mani came , too much to cree , oh will we ever be set free ? ride through dustcloud and barren wast , gallop hard on the plain chase the redskin back to their hole , fight them at their own game murder for freedom , a stab in the back . women and children and coward attack * to the hill , * for your live . * to the hill , * for your live . soldier blue in the barren wast , hunt and kill for game rape the women and wast the men , the onli good indian are tame sell them whiski and take their gold , enslav the young and destroy the old * to the hill , * for your live * to the hill , * for your live . . .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gangland,"Smith, Burr",3:46,226,The Number of the Beast,2,"shadow may hide you but also may be your grave . you'r run today , mayb tomorrow you'll be save . you pray for daylight to save you for a while . you wonder if your children will face the killer smile . dead men - tell no tale , in gangland - murder up for sale . dead men - tell no tale , in gangland - where the jailbird die . face at the window leer into your own . but it onli your reflect , still you trembl in your bone . how long can you hide ? how long ' til they come ? a rat in a trap but you'v got to surviv . onc you were glad to be free for a while . the air tast good and the world was your friend . then came the day when the hard time began . now you'r alon but aliv for how long ? a knife at your throat , anoth bodi on the pile . a contract to keep and it servic with a smile . murder for vengeanc or murder for gain . death on the street or a black out jail . dead men - tell no tale , in gangland - murder up for sale . dead men - tell no tale , in gangland - where the jailbird die . in gangland you tell no tale .",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Hallowed Be Thy Name,Harris,7:08,428,The Number of the Beast,2,"i'm wait in my cold cell , when the bell begin to chime . reflect on my past life and it doesn't have much time . ' caus at 5 o'clock they'll take me to the gallow pole , the sand of time for me are run low , run low . when the priest come to read me the last rite , i take a look through the bar at the last sight , of a world that has gone veri wrong for me . can it be that there some sort of error . hard to stop the surmount terror . is it realli the end and not some crazi dream . somebodi pleas tell me that i'm dream , it not so easi to stop from scream , the word escap me when i tri to speak . tear flow but whi am i cri , after all i'm not afraid of die . don't i believ that there never is an end . as the guard march me out to the courtyard , somebodi cri from a cell "" god be with you "" . if there a god then whi has he let me go ? as i walk all my life drift befor me , though the end is near i'm not sorri . catch my soul , it will to fli away . mark my word believ my soul live on . don't worri now that i have gone . i'v gone beyond to see the truth . when you know that your time is close at hand . mayb then you'll begin to understand , life down here is just a strang illus eh eh eh eh eh eh hallow be thi name eh eh eh eh eh eh hallow be thi name",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Where Eagles Dare,Harris,6:08,368,Piece of Mind,2,"it snow outsid , the rumbl sound of engin roar in the night the mission is near the confid men are wait to drop from the sky the blizzard goe on , but still they must fli no one should go where eagl dare bavarian alp that lay all around they seem to stare from below the enemi line a long time pass are lie deep in the snow into the night they fall through the sky no one should fli where eagl dare their close in , the fortress is near it stand high in the sky the cabl car the onli way in it real imposs to climb they make their way , but mayb too late they'v got to tri to save the day the panick cri , the roar of gun are echo all around the valley the mission complet , they make to escap away from the eagl nest they dare to go where no one would tri they chose to fli where eagl dare",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Revelations,Dickinson,6:51,411,Piece of Mind,2,""" o god of earth and altar , bow down and hear our cri , our earth ruler falter , our peopl drift and die , the wall of gold entomb us , the sword of scorn divid , take not thi thunder from us , but take away our pride . "" just a babi in a black abyss , no reason for a place like this . the wall are cold and soul cri out in pain . an easi way for the blind to go , a clever path for the fool who know . the secret of the hangman the smile on his lip . the light of the blind you'll see , the venom that tear my spine , the eye of the nile are open you'll see . she came to me with a serpent kiss , as the eye of the sun rose on her lip . moonlight catch silver tear i cri . so we lay in a black embrac , and the seed is sown in a holi place , and i watch and i wait for the dawn . the light of the blind you'll see , the venom that tear my spine , the eye of the nile are open you'll see . bind us all togeth , ablaz with hope and free . no storm or heavi weather , will rock the boat you'll see . the time has come to close your eye , and still the wind and rain . for the one who will be king , is the watcher in the ring . it is you .",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flight of Icarus,"Smith, Dickinson",3:49,229,Piece of Mind,2,"as the sun break , abov the ground , an old man stand on the hill , as the ground warm , to the first ray of light a birdsong shatter the still . his eye are a blaze , see the madman in his gaze . fli , on your way , like an eagl , fli as high as the sun , on your way , like an eagl , fli , touch the sun . now the crowd break and a young boy appear look the old man in the eye as he spread his wing and shout at the crowd in the name of god my father i'll fli . his eye seem so glaze as he fli on the wing of a dream , now he know his father betray now his wing turn to ash to ash his grave . fli , on your way , like an eagl , fli as high as the sun , on your way , like an eagl , fli as high as the sun .",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Die with Your Boots On,"Smith, Dickinson, Harris",5:22,322,Piece of Mind,2,"anoth prophet of disast who say the ship is lost anoth prophet of disast leav you to count the cost taunt us with vision afflict us with fear predict war for million in the hope that one appear no point ask when it is no point ask who to go no point ask what the game no point ask who to blame ' cos if you'r gonna die , if you'r gonna die ' cos if you'r gonna die , if you'r gonna die if you'r gonna die , die with your boot on if you'r gonna tri , just stick around gonna cri , just move along if you'r gonna die , you'r gonna die in 13 the beast is rise the frenchman did surmis through earthquak and starvat the warlord will aris terror , death , destruct pour from the eastern sand but the truth of all predict is alway in your hand",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
The Trooper,Harris,4:10,250,Piece of Mind,2,you'll take my life but i'll take your too you'll fire your musket but i'll run you through so when you'r wait for the next attack you'd better stand there no turn back . the bugl sound and the charg begin but on this battlefield no one win the smell of acrid smoke and hors breath as i plung on into certain death . oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh the hors he sweat with fear we break to run the mighti roar of the russian gun and as we race toward the human wall the scream of pain as my comrad fall we hurdl bodi that lay on the ground and the russian fire anoth round we get so near yet so far away we won't live to fight anoth day . oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh we get so close near enough to fight when a russian get me in his sight he pull the trigger and i feel the blow a burst of round take my hors below . and as i lay there gaze at the sky my bodi numb and my throat is dri and as i lay forgotten and alon without a tear i draw my part groan oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Still Life,"Murray, Harris",4:27,267,Piece of Mind,2,take a look in the pool and what do you see in the dark depth there face beckon me can't you see them it plain for all to see they were there oh i know you don't believ me . oh . . . i'v never felt so strang but . . . i'm not go insan . i'v no doubt that you think i'm off my head you don't say but it in your eye instead hour i spend out just gaze into that pool someth draw me there i don't know what to do . oh . . . they drain my strength away oh . . . they'r ask me to stay . nightmar . . . spirit call me nightmar . . . they won't leav me be . all my life blood is slowli drain away and i feel that i'm weaker everi day somehow i know i haven't long to go join them at the bottom of the pool . now . . . i feel they are so near i . . . begin to see them clear nightmar . . . come all the time nightmar . . . will give me peac of mind . now it clear and i know what i have to do i must take you down there to look at them too hand in hand then we'll jump right into the pool can't you see not just me they want you too . oh . . . we'll drown togeth it . . . will be forev . nightmar . . . forev call me nightmar . . . now we rest in peac .,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Quest for Fire,Harris,3:40,220,Piece of Mind,2,in a time when dinosaur walk the earth when the land was swamp and cave were home in an age when prize possess was fire to search for landscap men would roam . then the tribe they came to steal their fire and the wolv they howl into the night as they fought a vicious angri battl to save the power of warmth and light . drawn by quest for fire they search all through the land drawn by quest for fire discoveri of man . and they thought that when the ember die away that the flame of life had burnt and die didn't know the spark that made the fire were made by rub stick and stone . oh they plough through the forest and swamp of danger and they fought the cannib tribe and beast in the search to find anoth fire to regain the power of light and heat .,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sun and Steel,"Dickinson, Smith",3:25,205,Piece of Mind,2,"you kill your first man at 13 killer instinct , anim suprem by 16 you had learn to fight the way of the warrior , you took it as your right sunlight , fall on your steel death in life is your ideal life is like a wheel sunlight , fall on your steel death in life is your ideal life is like a wheel through earth and water , fire and wind you came at last - noth was the end make a cut by fire and stone take you and your blade and break you both in two break you both in two sunlight , fall on your steel death in life is your ideal life is like a wheel sunlight , fall on your steel death in life is your ideal life is like a wheel - roll on and on sunlight , fall on your steel death in life is your ideal life is like a wheel sunlight , fall on your steel death in life is your ideal life is like a wheel sunlight , fall on your steel death in life is your ideal life is like a wheel sunlight , fall on your steel death in life is your ideal life is like a wheel - and it ` s roll still",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
To Tame a Land,Harris,7:26,446,Piece of Mind,2,"he is the king of all the land in the kingdom of the sand of a time tomorrow he rule the sandworm and the fremen in a land amongst the star of an age tomorrow he is destin to be a king he rule over everi thing in the land call planet dune bodi water is your life and without it you would die in the desert the planet dune without a stillsuit you would fri on the sand so hot and dri in a world call araki it is a land that rich in spice the sandrid and the ' mice ' that they call the ' muad'dib ' he is the kwizatz haderach he is born of caladan and will take the gorn jabbar he has the power to forese or to look into the past he the ruler of the star the time will come for him to lay claim his crown and then the foe , yes they'll be cut down you'll see , he'll be the best that there been messiah suprem , true leader of men and when the time for judgement at hand don't fret he strong and he'll make a stand ` gainst evil the fire that spread through the land he has the power to make it all end",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aces High,Harris,4:31,271,Powerslave,2,"there goe the siren that warn of the air raid then come the sound of the gun send flak out for the scrambl we'v got to get airborn got to get up for the come attack . jump in the cockpit and start up the engin remov all the wheel block there no time to wast gather speed as we head down the runway gotta get airborn befor it too late run , scrambl , fli roll , turn , dive , go in again run , scrambl , fli roll , turn , dive run , live to fli , fli to live , do or die ( won't you ? ) run , live to fli , fli to live , ace high . move in to fire at the mainstream of bomber let off a sharp burst and then turn away roll over , spin round to come in behind them move to their blindsid and fire again bandit at 8 o'clock move in behind us ten me-109 ' s out of the sun ascend and turn our spitfir to face them head straight for them i press down my gun . roll , turn , dive roll , turn , dive , go in again roll , turn , dive roll , turn , dive run , live to fli , fli to live , do or die ( won't you ? ) run , live to fli , fli to live , ace high",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2 Minutes to Midnight,"Smith, Dickinson",6:04,364,Powerslave,2,"kill for gain or shoot to maim but we don't need a reason the golden goos is on the loos and never out of season . blacken pride still burn insid this shell of bloodi treason here my gun for a barrel of fun for the love of live death . the killer breed or the demon seed , the glamour , the fortun , the pain , go to war again , blood is freedom stain , don't you pray for my soul anymor . 2 minut to midnight , the hand that threaten doom . 2 minut to midnight , to kill the unborn in the womb . the blind men shout let the creatur out we'll show the unbeliev , the napalm scream of human flame of a prime time belsen feast . . . yeah ! as the reason for the carnag cut their meat and lick the gravi , we oil the jaw of the war machin and feed it with our babi . the killer breed or the demon seed , the glamour , the fortun , the pain , go to war again , blood is freedom stain , don't you pray for my soul anymor . 2 minut to midnight , the hand that threaten doom . 2 minut to midnight , to kill the unborn in the womb . the bodi bag and littl rag of children torn in two , and the jelli brain of those who remain to put the finger right on you as the madmen play on word and make us all danc to their song , to the tune of starv million to make a better kind of gun . the killer breed or the demon seed , the glamour , the fortun , the pain , go to war again , blood is freedom stain , don't you pray for my soul anymor . 2 minut to midnight , the hand that threaten doom . 2 minut to midnight , to kill the unborn in the womb . midnight is all night",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Flash of the Blade,Dickinson,4:05,245,Powerslave,2,"as a young boy chase dragon with your wooden sword so mighti . you'r st . georg or you'r david and you alway kill the beast . time chang veri quick , and you had to grow up earli , a hous in smoke ruin and the bodi at your feet . you'll die as you live in the flash of a blade , in a corner forgotten by no-on . you live for the touch for the feel of the steel , one man , and his honour . the smell of resin leather the steeli iron mask as you cut and thrust and parri at the fenc master call . he taught you all he never knew to fear no mortal man and now you'll wreak your vengeanc in the scream of evil men . you'll die as you live in the flash of a blade , in a corner forgotten by no-on . you live for the touch for the feel of the steel , one man , and his honour . you'll die as you live in the flash of a blade , in a corner forgotten by no-on . you live for the touch for the feel of the steel , one man , and his honour .",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
